Symbol,Script
PDBLPO,"Paschimanchal Bikash Bank Ltd. Promoter Share"
PFC,"Paschimanchal Finance Co. Ltd."
PFCL,"Peoples Finance Ltd."
PFCLL,"Premier Finance Co. Ltd."
PFCLPO,"Peoples Finance Limited Promoter Share"
PFCPO,"Paschimanchal Finance Co. Ltd. Promoter Share"
PFIL,"Prudential Finance Company Limited"
PFILPO,"Prudential Finance Co. Ltd. Promoter Share"
PFL,"Pokhara Finance Ltd."
PFLBS,"Patan Finance Limited"
PFLBSP,"Patan Finance Limited Promoter Share"
PFLPO,"Pokhara Finance Company Limited Promoter Share"
PGBL,"Purwanchal Grameen Bikash Bank Limited"
PHCL,"Peoples Hydropower Company Limited"
PIC,"Premier Insurance Company (Nepal) Limited"
PICL,"Prudential Insurance Co. Ltd."
PICLPO,"Prudential Insurance Co. Ltd. Promoter Share"
PICPO,"Premier Insurance Co. Ltd. Promoter Share"
PLI,"Prabhu Life Insurance Limited"
PLIC,"Prime Life Insurance Company Limited"
PLICPO,"Prime Life Insurance Company Limited Promoter Share"
PMHPL,"Panchakanya Mai Hydropower Ltd"
PMLI,"Prabhu Mahalaxmi Life Insurance Limited"
PPCL,"Panchthar Power Compant Limited"
PPL,"People'S Power Limited"
PRBBL,"Prabhu Bikas Bank Limited"
PRBL,"Professional Bikas Bank Ltd."
PRDBL,"Professional Diyalo Bikas Bank Ltd."
PRDBLP,"Professional Diyalo Bikas Bank Ltd. Promoter Share"
PRFLPO,"Prabhu Finance Ltd. Promoter Share"
PRIN,"Prabhu Insurance Ltd."
PRINPO,"Prabhu Insurance Company Ltd. Promoter Share"
PROFL,"Progressive Finance Limited"
PROFLP,"Progressive Finance Limited Promoter Share"
PRSF,"Prabhu Smart Fund"
PRVU,"Prabhu Bank Limited"
PRVUPO,"Prabhu Bank Limited Promoter Share"
PSF,"Prabhu Select Fund"
PURBL,"Purnima Bikash Bank Ltd."
PURBLP,"Purnima Bikash Bank Ltd. Promoter Share"
RADHI,"Radhi Bidyut Company Ltd"
RARA,"Rara Bikas Bank Limited"
RAWA,"Rawa Energy Development Limited"
RBBBL,"Raptibheri Bikas Bank Ltd."
RBCL,"Rastriya Beema Company Limited"
RBCLPO,"Rastriya Beema Company Limited Promoter Share"
RBSL,"Resunga Bikas Bank Limited"
RDBL,"Rising Development Bank Ltd."
REDBL,"Reliable Development Bank Limited"
REDBLP,"Reliable Development Bank Ltd. Promoter Share"
RFPL,"River Falls Power Limited"
RHGCL,"Rapti Hydro And General Construction Limited"
RHPL,"Rasuwagadhi Hydropower Company Limited"
RIBSL,"Reliable Investment Bittiya Sanstha"
RIBSLP,"Reliable Investment Bittiya Sanstha Promoter Share"
RIDI,"Ridi Power Company Limited"
RJM,"Raghupati Jute Mills Limited"
RLFL,"Reliance Finance Ltd."
RLFLPO,"Reliance Finance Ltd. Promoter Share"
RLI,"Reliance Life Insurance Limited"
RMBFI,"Royal Merchant Bank & Finance Co. Ltd."
RMBFPO,"Royal Merchant Bank & Finance Co. Ltd. Promoter Share"
RMDC,"Rmdc Laghubitta Bittiya Sanstha Ltd."
RMDCPO,"Rural Microfinance Development Centre Ltd. Promoter Share"
RMF1,"Rbb Mutual Fund 1"
RMF2,"RBB Mutual Fund 2"
RMFL,"Reliable Microfinance Bittya Sanstha Ltd."
RNLI,"Reliable Nepal Life Insurance Limited"
RRHP,"Rairang Hydropower Development Company Ltd."
RSDC,"Rsdc Laghubitta Bittiya Sanstha Ltd."
RSDCP,"Rsdc Laghubitta Bittiya Sanstha Ltd. Promoter Share"
RULB,"Rastra Utthan Laghubitta Sanstha Limited"
RURU,"Ru Ru Jalbidhyut Pariyojana Limited"
SABSL,"Sabaiko Laghubitta Bittiya Sanstha Limited"
SABSLP,"Sabaiko Laghubitta Bittiya Sanstha Limited Promoter Share"
SADBL,"Shangrila Development Bank Ltd."
SADBLP,"Shangrila Development Bank Ltd. Promoter Share"
SAEF,"Sanima Equity Fund"
SAFL,"Sagarmatha Finance Limited"
SAFLPO,"Sagarmatha Finance Limited Promoter Share"
SAGF,"Sanima Growth Fund"
SAHAS,"Sahas Urja Limited"
SAJHA,"Sajha Bikas Bank Ltd."
SALICO,"Sagarmatha Lumbini Insurance Co. Limited"
SAMAJ,"Samaj Laghubittya Bittiya Sanstha Limited"
SAND2085,"Sanima Bank Limited Debenture"
SANIMA,"Sanima Bank Limited"
SAPDBL,"Saptakoshi Development Bank Ltd"
SAPDBLP,"Saptakoshi Development Bank Ltd Promoter Share"
SBBL,"Sanima Bikas Bank Limited"
SBBLJ,"Sahayogi Bikas Bank Limited"
SBBLJP,"Sahayogi Bikas Bank Ltd. Promoter Share"
SBCF,"Sunrise Bluechip Fund"
SBD87,"8.5% Sanima Debenture 2087"
SBI,"Nepal Sbi Bank Limited"
SBIBD86,"10% Nepal Sbi Bank Debenture 2086"
SBID83,"10.25% Nepal Sbi Bank Debenture 2083"
SBL,"Siddhartha Bank Limited"
SBLD2082,"10.50% Sbl Debenture 2082"
SBLD83,"10.25% Sbl Debenture 2083"
SBLD84,"8.5% Sbl Debenture 2084"
SBLPO,"Siddhartha Bank Limited Promoter Share"
SBPP,"Shree Bhrikuti Pulp And Paper Limited"
SBSL,"Shikhar Finance Limited"
SCB,"Standard Chartered Bank Limited"
SDBD87,"Shangri-La Development Bank Debenture 2087"
SDBL,"Siddhartha Development Bank Ltd."
SDBLPO,"Siddhartha Development Bank Limited Promoter Share"
SDESI,"Swadeshi Laghubitta Bittiya Sanstha Ltd."
SDFL,"Suryadarshan Finance Company Limited"
SDLBSL,"Sadhana Laghubitta Bittiya Sanstha Limited"
SEF,"Siddhartha Equity Fund"
SEOS,"Siddhartha Equity Orineted Scheme"
SETI,"Seti Finance Limited"
SETIPO,"Seti Finance Ltd. Promoter Share"
SEWA,"Sewa Bikas Bank Limited"
SEWAPO,"Sewa Bikas Bank Ltd. Promoter Share"
SFC,"Samjhana Finance Co. Ltd."
SFCL,"Samriddhi Finance Company Limited"
SFCLP,"Samriddhi Finance Company Limited Promoter Share"
SFCPO,"Samjhana Finance Co. Ltd. Promoter Share"
SFEF,"Sunrise Focused Equity Fund"
SFFIL,"Shrijana Finance (Bittaya Sanstha)"
SFFILP,"Shrijana Finance Ltd. Promoter Share"
SFL,"Siddharth Finance Ltd."
SFLPO,"Siddhartha Finance Ltd. Promoter Share"
SFMF,"Sunrise First Mutual Fund"
SGHC,"Swet-Ganga Hydropower & Construction Limited"
SGI,"Sanima General Insurance Limited"
SGIC,"Sanima GIC Insurance Limited"
SHBL,"Sahara Bikas Bank Ltd."
SHEL,"Singati Hydro Energy Limited"
SHINE,"Shine Resunga Development Bank Ltd."
SHINEP,"Shine Resunga Development Bank Ltd. Promoter Share"
SHIVM,"Shivam Cements Ltd"
SHL,"Soaltee Hotel Limited"
SHLB,"Shrijanshil Laghubitta Bittiya Sanstha Limited"
SHPC,"Sanima Mai Hydropower Ltd."
SIC,"Sagarmatha Insurance Co. Ltd."
SICL,"Shikhar Insurance Co. Ltd."
SICLPO,"Shikhar Insurance Co. Ltd. Promoter Share"
SICPO,"Sagarmatha Insurance Co. Ltd. Promoter Share"
SIFC,"Shree Investment Finance Co. Ltd."
SIFCPO,"Shree Investment & Finance Co. Ltd. Promoter Share"
SIGS1,"Siddhartha Investment Growth Scheme-1"
SIGS2,"Siddhartha Investment Growth Scheme - 2"
SIGS3,"Siddhartha Investment Growth Scheme 3"
SIKLES,"Sikles Hydropower Limited"
SIL,"Siddhartha Insurance Ltd."
SILPO,"Siddhartha Insurance Ltd. Promoter Share"
SINDU,"Sindhu Bikash Bank Ltd"
SINDUP,"Sindhu Bikas Bank Ltd. Promoter Share"
SJCL,"Sanjen Jalavidhyut Company Limited"
SJLIC,"Suryajyoti Life Insurance Company Limited"
SJLICP,"SuryaJyoti Life Insurance Company Limited Promoter"
SKBBL,"Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited"
SKBBLP,"Sana Kisan Bikas Bank Ltd. Promoter Share"
SKDBL,"Saptakoshi Development Bank Ltd."
SLBBL,"Swarojgar Laghu Bitta Bikas Bank Ltd."
SLBBLP,"Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share"
SLBS,"Suryodaya Laghubitta Bittiya Sanstha Ltd."
SLBSL,"Samudayik Laghubitta Bittiya Sanstha Limited"
SLBSP,"Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share"
SLCF,"Sanima Large Cap Fund"
SLFL,"Subha Laxmi Finance Co. Ltd."
SLI,"Sanima Life Insurance Limited"
SLICL,"Surya Life Insurance Company Limited"
SLICLP,"Surya Life Insurance Co. Ltd. Promoter Share"
SLK,"Subha Laxmi Kosh"
SMATA,"Samata Gharelu Laghubitta Bittiya Sanstha Limited"
SMB,"Support Microfinance Bittiya Sanstha Ltd."
SMBF,"Sagarmatha Merchant Banking And Finance Ltd."
SMBPO,"Support Microfinance Bittiya Sanstha Ltd. Promoter Share"
SMF,"Swastik Merchant Finance Co. Ltd."
SMFBS,"Swabhimaan Laghubitta Bittiya Sanstha Limited"
SMFDB,"Summit Laghubitta Bittiya Sanstha Limited"
SMFDBP,"Summit Micro Finance Development Bank Ltd. Promoter Share"
SMH,"Super Mai Hydropower Limited"
SMHL,"Super Madi Hydropower Limited"
SMJC,"Sagarmatha Jalabidhyut Company Limited"
SNLI,"Sun Nepal Life Insurance Company Limited"
SNMAPO,"Sanima Bank Ltd. Promoter Share"
SODBL,"Society Development Bank Ltd."
SONA,"Sonapur Minerals And Oil Limited"
SPARS,"Sparsha Laghubitta Bittiya Sanstha Limited"
SPC,"Samling Power Company Limited"
SPDL,"Synergy Power Development Ltd."
SPHL,"Sayapatri Hydropower Limited"
SPIL,"Siddhartha Premier Insurance Limited"
SPILPO,"Siddhartha Premier Insurance Limited Promoter Share"
SPL,"Shuvam Power Limited"
SRBL,"Sunrise Bank Limited"
SRBLD83,"10.25% Sunrise Bank Debenture 2083"
SRBLPO,"Sunrise Bank Ltd Promoter Share"
SRD80,"10% Sunrise Debenture 2080"
SRLI,"Sanima Reliance Life Insurance Limited"
SRS,"Shree Ram Sugar Mills Limited"
SSHL,"Shiva Shree Hydropower Ltd"
SSIS,"Siddhartha Systematic Investment Scheme"
STC,"Salt Trading Corporation"
STFL,"Standard Finance Ltd."
STFLPO,"Standard Finance Limited Promoter Share"
SUBBL,"Subhechha Bikas Bank Limited"
SUBBLP,"Subhechha Bikas Bank Ltd. Promoter Share"
SUPRME,"Supreme Development Bank Ltd."
SUPRMP,"Supreme Development Bank Ltd. Promoter Share"
SWBBL,"Swabalamban Laghubitta Bittiya Sanstha Limited"
SWBBLP,"Swabalamban Bikas Bank Limited Promoter Share"
SWMF,"Suryodaya Womi Laghubitta Bittiya Sanstha Limited"
SWMFPO,"Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share"
SYFL,"Synergy Finance Ltd."
SYFLPO,"Synergy Finance Ltd. Promoter Share"
TAMOR,"Sanima Middle Tamor Hydropower Limited"
TBBL,"Triveni Bikas Bank Limited"
TBBLP,"Triveni Bikas Bank Ltd Promoter Share"
TDBL,"Tourism Development Bank Limited"
TDBLPO,"Tourism Development Bank Ltd. Promoter Share"
TMDBL,"Tinau Mission Development Bank Limited"
TMDBLP,"Tinau Mission Development Bank Limited Promoter Share"
TNBL,"Tinau Development Bank Limited"
TNBLPO,"Tinau Development Bank Ltd. Promoter Share"
TPC,"Terhathum Power Company Limited"
TRH,"Taragaon Regency Hotel Limited"
TSHL,"Three Star Hydropower Limited"
TVCL,"Trishuli Jal Vidhyut Company Limited"
UAIL,"United Ajod Insurance Limited"
UBBL,"Udhyam Bikas Bank Limited"
UFCL,"Union Finance Co. Ltd."
UFCLPO,"Union Finance Co. Ltd. Promoter Share"
UFIL,"Unique Finance Ltd."
UFILPO,"Unique Finance Ltd. Promoter Share"
UFL,"United Finance Ltd."
UFLK,"Universal Finance Ltd."
UFLKPO,"Universal Finance Limited Promoter Share"
UFLPO,"United Finance Company Limited Promoter Share"
UHEWA,"Upper Hewakhola Hydropower Company Limited"
UIC,"United Insurance Co. (Nepal) Ltd."
UICPO,"United Insurance Co. (Nepal) Ltd. Promoter Share"
ULBSL,"Upakar Laghubitta Bittiya Sanstha Limited"
ULHC,"Upper Lohore Khola Hydropower Company Limited"
ULI,"Union Life Insurance Company Limited"
UMB,"Unnati Micorfinance Bittiya Sanstha Ltd."
UMHL,"United Modi Hydropower Ltd."
UMRH,"United Idi Mardi Rb Hydropower Limited"
UNHPL,"Union Hydropower Limited"
UNL,"Unilever Nepal Limited"
UNLB,"Unique Nepal Laghubitta Bittiya Sanstha Limited"
UPCL,"Universal Power Company Ltd"
UPPER,"Upper Tamakoshi Hydropower Ltd"
USHEC,"Upper Solu Hydro Electric Company Limited"
USHL,"Upper Syange Hydropower Limited"
USLB,"Unnati Sahakarya Laghubitta Bittiya Sanstha Limited"
VBBL,"Vibor Bikas Bank Limited"
VFL,"Valley Finance Limited"
VLBS,"Vijaya Laghubitta Bittiya Sanstha Ltd."
VLBSPO,"Vijaya Laghubitta Bittiya Sanstha Ltd. Promoter Share"
VLUCL,"Vision Lumbini Urja Company Limited"
VSDBL,"Vibor Society Development Bank Limited"
VSDBLP,"Vibor Society Development Bank Limited Promoter Share"
WDBL,"Western Development Bank Limited"
WDBLPO,"Western Development Bank Limited Promoter Share"
WMBFL,"World Merchant Banking & Finance Ltd."
WNLB,"Wean Nepal Laghubitta Bittiya Sansthan Limited"
WOMI,"Womi Microfinance Bittiya Sansthan Limited"
WOMIPO,"Womi Microfinance Bittiya Sansthan Ltd. Promoter Share"
YETI,"Yeti Development Bank Limited"
YETIPO,"Yeti Development Bank Promoter Share"
YFL,"Yeti Finance Ltd."
YFLPO,"Yeti Finance Ltd. Promoter Share"
YHL,"Yak And Yeti Hotel Limited"
ZFL,"Zenith Finance Limited"
SARBTM,"Sarbottam Cement Limited"
NICGF2,"NIC ASIA Growth Fund-2"
CITPO,"Citizen Investment Trust Promoter Share"
EBLD85,"10.50% Everest Bank Limited Debenture 2085"
HBLD86,"Himalayan Bank Limited Bond, 2086"
HLIPO,"Himalayan Life Insurance Limited"
JBBD87,"Jyoti Bikash Bank Bond 2087"
KBLD89,"11% KBL Debenture 2089"
KSBBLD87,"9% Kamana Sewa Bikas Bank Limited Debenture 2087"
MBLD87,"8.5% Machhapuchchhre Debenture 2087"
NICGF2,"NIC ASIA Growth Fund-2"
PMLIP,"Prabhu Mahalaxmi Life Insurance Limited Promoter Share"
SALICOPO,"Sagarmatha Lumbini Insurance Co. Limited Promoter Share"
SBID89,"9% Nepal SBI Bank Rinpatra 2089"
SDLBSLP,"Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares"
SMATAP,"Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter"
LBL,"Laxmi Bank Limited"
NMLBBL,"Nerude Mirmire Laghubitta Bittiya Sanstha Limited"
LBBLD89,"11% L.B.B.L. Debenture 2089"
LSLPO,"Laxmi Sunrise Bank Limited Promoter Share"
MLBLD89,"11% Mahalaxmi Debenture 2089"
MND84/85,"Muktinath Debenture 2084/85"
NABILD87,"9% Nabil Debenture 2087"
NICAD 85/86,"10% NIC Asia Debenture 2085/86"
NICAD85/86,"10% NIC Asia Debenture 2085/86"
NICD88,"NIC ASIA Rinpatra 2088"
NIFRAP,"Nepal Infrastructure Bank Limited Promoter"
NIMBD90,"10% NIMB Debenture 2090"
RBBD83,"8.5% RBBL Debenture 2083"
SBLD89,"10.75% SBL Debenture 2089"
SCBD,"10.30% Standard Chartered Bank Limited Debenture"
KSY,"Kumari Sabal Yojana"
CIZBD90,"10% Citizens Bank Debenture"
NADEPP,"Nadep Laghubitta Bittiya Sanstha Ltd. Promoter Share"
NIBLSTF,"NIBL Stable Fund"
USLBP,"Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share"
SMPDA,"Sampada Laghubitta Bittiya Sanstha Limited"
BOKD86KA,"BOK Debenture 2086 \"KA\""
GBILD84/85,"Global IME Bank Debenture, 2084/85"
KBLD89,"11% KBL Debenture 2089"
MATRI,"Matribhumi Lagubitta Bittiya Sanstha Limited"
NMBD89/90,"NMB Debenture 10.75%-2089/90"
PBD84,"10.15% Prime Debenture 2084"
SBD89,"10.25% Sanima Debenture 2089"
GMLI,"Guardian Micro Life Insurance Limited"
MNMF1,"Muktinath Mutual Fund 1"
GSY,"Garima Samriddhi Yojana"
UAILPO,"United Ajod Insurance Limited Promoter Share"
NMIC,"Nepal Micro Insurance Company Limited"
SANFLF,"Sanima Flexi Fund"
MBLEF,"MBL Equity Fund"
RSY,"Reliable Samriddhi Yojana"
